LAD_name,Investment_Potential_Score,Top1_Feature,Top1_Dir,Top1_SignedSHAP,Top2_Feature,Top2_Dir,Top2_SignedSHAP,Top3_Feature,Top3_Dir,Top3_SignedSHAP
Crawley,2.303793057202536,House=Price Growth %,↓,-8.563013361440552,%=CQC RequiresImprovement,↓,-8.010408128073836,%=CQC Good,↓,-1.898912542334275
Croydon,10.630636948266565,%=CQC RequiresImprovement,↓,-5.731366784068841,House=Price Growth %,↑,1.7406299198414936,%=CQC Good,↓,-1.245667622208743
Dacorum,11.81316028006677,%=CQC RequiresImprovement,↑,5.137656015719221,House=Price Growth %,↓,-1.5121892688345455,%=CQC Good,↑,0.3822592380012124
Darlington,6.970500217631541,House=Price Growth %,↓,-3.738846576893069,%=CQC RequiresImprovement,↓,-3.1037832055156613,Percent=65plus,↑,0.764398736120943
Dartford,4.426270011052521,%=CQC RequiresImprovement,↑,12.815758722200476,House=Price Growth %,↓,-7.306968287325136,%=CQC Good,↑,5.876354569431899
Derbyshire Dales,17.19120464414801,%=CQC RequiresImprovement,↓,-7.854682973613642,House=Price Growth %,↑,3.2947714240286547,%=CQC Good,↓,-1.3755011487300557
Doncaster,14.0027538734497,House=Price Growth %,↑,3.495697144444874,%=CQC Good,↓,-0.4904740409512108,%=CQC RequiresImprovement,↓,-0.3054796811548246
Dorset,16.46375883949813,%=CQC RequiresImprovement,↓,-2.508582023221262,House=Price Growth %,↑,2.1178137306323634,Percent=65plus,↑,0.9648500570371302
Dover,15.02185227041237,%=CQC RequiresImprovement,↑,3.591980626422655,House=Price Growth %,↑,2.421817059342488,Percent=65plus,↑,0.6646547088432158
Dudley,15.491361599221031,%=CQC RequiresImprovement,↑,8.916430578050056,House=Price Growth %,↑,3.837536510686284,%=CQC Good,↑,0.6482312310490329
Ealing,7.409706109424647,House=Price Growth %,↓,-4.964125806800237,%=CQC RequiresImprovement,↑,4.3122023959275735,%=CQC Good,↓,-1.2359422365612756
East Cambridgeshire,13.50432716260118,%=CQC RequiresImprovement,↓,-5.675317318797148,%=CQC Good,↓,-0.7099315296995509,%=CQC Outstanding,↓,-0.4178166846343022
East Devon,17.53477908748075,House=Price Growth %,↑,3.6420892071109536,%=CQC RequiresImprovement,↓,-3.189050588269023,Percent=65plus,↑,0.8224254243362
East Hampshire,14.637334881355324,%=CQC RequiresImprovement,↓,-2.4578493760872333,Percent=65plus,↑,0.8336665672895741,House=Price Growth %,↑,0.334002820905256
East Hertfordshire,11.287954353088752,%=CQC RequiresImprovement,↓,-6.6175499920897325,%=CQC Good,↓,-1.8590431752483736,House=Price Growth %,↓,-1.4311407587796254
East Lindsey,13.539239878386606,%=CQC RequiresImprovement,↑,4.39841386439645,House=Price Growth %,↓,-1.5515434388836773,Percent=65plus,↑,1.0595037498540285
East Riding Of Yorkshire,,%=CQC RequiresImprovement,↑,5.211569752668844,House=Price Growth %,↑,1.7573339463475333,Percent=65plus,↑,0.8325806282948287
East Staffordshire,7.292213026660566,House=Price Growth %,↓,-3.098071888765693,%=CQC RequiresImprovement,↓,-2.079271712462413,%=CQC Good,↓,-0.3287567261255946
East Suffolk,15.349254040820467,%=CQC RequiresImprovement,↓,-4.853669585339511,House=Price Growth %,↑,2.1919424506103304,Percent=65plus,↑,0.8656655108448833
Eastbourne,19.05751835646951,House=Price Growth %,↑,7.300322439691495,%=CQC RequiresImprovement,↓,-5.62675769254459,%=CQC Good,↓,-0.8345850963755134
Eastleigh,11.728515584791715,%=CQC RequiresImprovement,↑,3.635931286121898,%=CQC Good,↓,-0.988965744100124,House=Price Growth %,↓,-0.9246166978317945
Elmbridge,16.44584580466295,%=CQC RequiresImprovement,↑,4.583329225958208,House=Price Growth %,↑,2.367695983749587,%=CQC Good,↓,-0.3881390635649655
Enfield,10.495957256475489,House=Price Growth %,↓,-2.745856860409148,%=CQC RequiresImprovement,↑,0.892150014175041,%=CQC Good,↓,-0.827274517519528
Epping Forest,16.780238719204167,%=CQC RequiresImprovement,↑,5.238785753712209,House=Price Growth %,↑,3.979016119906965,%=CQC Good,↓,-0.7217996767436846
Epsom And Ewell,,%=CQC RequiresImprovement,↓,-6.175270659785692,%=CQC Good,↓,-1.3683502275035575,House=Price Growth %,↓,-0.6871492968506776
