LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E07000212,Runnymede,90442.0,17.12,19.0,2.100793878950045,0.0,84.21,15.79,0.0,0,28789,-26.58,-9.835530918157492,0,Avoid
E07000213,Spelthorne,103954.0,17.96,18.0,1.7315351020643746,11.11,66.67,16.67,5.56,0,26351,-25.41,-6.426119734690346,0,Avoid
E07000214,Surrey Heath,92168.0,20.37,38.0,4.122905997743252,0.0,94.74,5.26,0.0,0,30451,-4.29,-8.163914100338513,0,Avoid
E07000215,Tandridge,89409.0,21.21,41.0,4.585668109474438,2.44,75.61,12.2,9.76,0,31686,1.84,3.059250216421164,0,Consider
E07000216,Waverley,132146.0,22.13,53.0,4.010715420822423,5.77,75.0,19.23,0.0,0,36306,9.03,3.221507313123361,0,Consider
E07000217,Woking,104636.0,17.02,26.0,2.484804465002485,3.85,84.62,11.54,0.0,0,29827,15.96,-1.2942293302496282,0,Avoid
E07000218,North Warwickshire,66166.0,22.1,25.0,3.77837560076172,0.0,80.0,20.0,0.0,0,20460,1.33,-0.5067436598857427,0,Avoid
E07000219,Nuneaton and Bedworth,137794.0,19.1,37.0,2.685167714123982,0.0,78.38,21.62,0.0,0,18577,5.96,0.2643251571185967,0,Consider
E07000220,Rugby,118781.0,18.0,31.0,2.609845008881892,3.23,77.42,19.35,0.0,0,21409,17.64,2.058826751332284,0,Consider
E07000221,Stratford-on-Avon,141929.0,25.53,48.0,3.3819726764790845,4.17,81.25,14.58,0.0,0,29741,-4.76,-2.715054098528137,0,Avoid
E07000222,Warwick,153153.0,18.84,40.0,2.6117673176496705,2.5,85.0,12.5,0.0,0,25770,-5.0,-6.132734902352551,0,Avoid
