LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E07000066,Basildon,190544.0,17.08,35.0,1.836846082794525,8.57,71.43,20.0,0.0,0,22236,6.77,-0.7685730875808225,0,Avoid
E07000067,Braintree,159957.0,20.79,62.0,3.876041686203167,1.61,74.19,24.19,0.0,0,23345,-3.75,0.3751562529304744,0,Consider
E07000068,Brentwood,78152.0,20.32,23.0,2.9429829051079945,4.35,65.22,30.43,0.0,0,32465,-7.71,3.503697435766199,0,Consider
E07000069,Castle Point,89858.0,25.68,26.0,2.8934541164949144,0.0,69.23,30.77,0.0,0,23389,10.87,8.463868117474236,0,Good
E07000070,Chelmsford,185278.0,19.41,31.0,1.673161411500556,6.45,74.19,19.35,0.0,0,25662,-4.44,-2.737225788274918,0,Avoid
E07000071,Colchester,196998.0,17.9,75.0,3.807145250205586,1.33,70.67,20.0,8.0,0,21583,6.71,4.707021787530837,0,Consider
E07000072,Epping Forest,135975.0,19.97,23.0,1.69148740577312,0.0,73.91,26.09,0.0,0,33619,19.46,8.198073110865966,0,Consider
E07000073,Harlow,96040.0,14.55,7.0,0.7288629737609329,0.0,71.43,28.57,0.0,0,19127,4.46,2.01487944606414,0,Consider
E07000074,Maldon,68327.0,25.68,22.0,3.219810616593733,4.55,72.73,13.64,9.09,0,25116,9.84,5.220371592489059,0,Consider
E07000075,Rochford,88188.0,23.26,14.0,1.5875175760874494,0.0,64.29,35.71,0.0,0,24217,-8.86,5.324677636413117,0,Consider
E07000076,Tendring,153207.0,29.62,94.0,6.13548989275947,0.0,87.23,10.64,2.13,0,21099,0.32,-1.83182651608608,0,Avoid
E07000077,Uttlesford,93594.0,21.1,21.0,2.2437335726649144,0.0,80.95,19.05,0.0,0,29456,4.55,0.6914600358997358,0,Consider
E07000078,Cheltenham,120255.0,19.68,35.0,2.9104818926447966,8.57,77.14,14.29,0.0,0,24110,-4.72,-5.4049277161032805,0,Avoid
E07000079,Cotswold,91490.0,26.97,19.0,2.0767296972346707,5.26,73.68,21.05,0.0,0,33334,16.14,6.405109454585201,0,Consider
E07000080,Forest of Dean,89104.0,25.33,42.0,4.713593104686658,2.38,88.1,9.52,0.0,0,20545,26.83,1.4927889657029958,0,Consider
E07000223,Adur,64687.0,23.98,18.0,2.782630203904957,0.0,94.44,5.56,0.0,0,21774,31.53,0.3409945305857462,0,Consider
E07000224,Arun,168008.0,28.82,106.0,6.309223370315698,3.77,76.42,19.81,0.0,0,23068,17.54,5.750583505547354,0,Consider
E07000225,Chichester,128003.0,27.42,50.0,3.906158449411342,2.0,86.0,12.0,0.0,0,29357,0.7,-2.0605262325883,0,Avoid
E07000226,Crawley,120545.0,13.61,20.0,1.6591314446887055,5.0,90.0,5.0,0.0,0,19881,-28.63,-18.223980283296694,0,Avoid
E07000227,Horsham,149464.0,23.48,39.0,2.6093239843708185,7.89,78.95,7.89,5.26,0,29440,5.77,-1.0921014023443778,0,Avoid
E07000228,Mid Sussex,157915.0,20.8,53.0,3.356235949719786,9.43,77.36,9.43,3.77,0,28210,10.83,-0.7555646075420306,0,Avoid
E07000229,Worthing,112240.0,22.8,87.0,7.751247327156094,2.3,79.31,18.39,0.0,0,23051,12.05,2.436837099073413,0,Consider
E07000234,Bromsgrove,100679.0,23.0,45.0,4.469651069239861,2.22,80.0,17.78,0.0,0,25342,22.89,4.746247660385979,0,Consider
E07000235,Malvern Hills,81822.0,28.39,35.0,4.277578157463763,2.86,68.57,28.57,0.0,0,24945,15.72,9.580886723619564,0,Good
E07000236,Redditch,87059.0,19.22,13.0,1.4932402164049667,7.69,84.62,7.69,0.0,0,20555,35.72,0.5802360324607463,0,Consider
E07000237,Worcester,105143.0,18.23,21.0,1.9972798950001425,4.76,80.95,14.29,0.0,0,18889,-12.25,-8.41805801574998,0,Avoid
E07000238,Wychavon,136229.0,25.37,38.0,2.789420754758532,5.26,86.84,7.89,0.0,0,24466,13.45,-2.47068688678622,0,Avoid
E07000239,Wyre Forest,103253.0,25.42,37.0,3.583430989898599,2.7,72.97,24.32,0.0,0,21072,5.29,3.42981464848479,0,Consider
E07000240,St Albans,148755.0,17.52,35.0,2.3528620886692884,5.71,77.14,11.43,5.71,0,35264,23.55,4.824029313300393,0,Consider
E07000241,Welwyn Hatfield,121749.0,16.07,32.0,2.6283583438056985,0.0,78.12,21.88,0.0,0,25371,-0.04,-0.8525962484291458,0,Avoid
E07000242,East Hertfordshire,153391.0,18.88,26.0,1.6950147009928875,0.0,92.31,7.69,0.0,0,29761,-0.33,-6.8000977948510695,0,Avoid
E07000243,Stevenage,90146.0,15.53,14.0,1.553036185743128,0.0,85.71,14.29,0.0,0,20606,-1.41,-6.000144572138531,0,Avoid
E07000244,East Suffolk,247100.0,28.72,77.0,3.1161473087818696,11.69,76.62,11.69,0.0,0,22763,9.05,-1.29762790368272,0,Avoid
E07000245,West Suffolk,186063.0,20.8,39.0,2.096064236307057,15.38,51.28,33.33,0.0,0,21196,-32.33,-3.3366903645539407,0,Avoid
E08000001,Bolton,302383.0,17.12,61.0,2.0173091741268525,6.56,70.49,22.95,0.0,0,17977,4.56,-0.3688536238809732,0,Avoid
E08000002,Bury,195476.0,18.46,54.0,2.76248746649205,5.56,85.19,7.41,1.85,0,20278,17.91,-2.8614268800261904,0,Avoid
E08000003,Manchester,579917.0,9.34,85.0,1.4657269919660918,3.53,71.76,21.18,3.53,0,17615,7.33,-0.4043909512050874,0,Avoid
E08000004,Oldham,246130.0,15.92,43.0,1.747044244911226,0.0,81.4,18.6,0.0,0,16499,25.95,2.5044066367366824,0,Consider
E08000005,Rochdale,229756.0,16.5,61.0,2.6549905116732537,1.64,63.93,34.43,0.0,0,16872,32.95,12.44154857675099,1,Good
E08000006,Salford,284106.0,12.85,44.0,1.5487177321140702,0.0,79.55,20.45,0.0,0,19395,10.83,-0.7144423401828917,0,Avoid
E08000007,Stockport,299545.0,20.21,70.0,2.336877597689829,1.43,70.0,28.57,0.0,0,23192,4.74,4.294831639653475,0,Consider
E08000008,Tameside,234666.0,17.71,43.0,1.832391569294231,2.33,55.81,37.21,4.65,0,17472,26.36,15.215158735394134,1,Good
E08000009,Trafford,237480.0,17.72,57.0,2.4002021222839818,10.53,77.19,12.28,0.0,0,25802,-2.83,-6.329169681657403,0,Avoid
E08000011,Knowsley,159243.0,17.31,30.0,1.883913264633296,3.33,83.33,13.33,0.0,0,17832,47.31,5.646386989694996,0,Consider
E08000012,Liverpool,503740.0,15.26,94.0,1.8660420057966407,1.06,61.7,30.85,6.38,0,17408,8.32,7.998106300869495,0,Consider
E08000013,St. Helens,185982.0,20.65,42.0,2.258283059650934,2.38,85.71,9.52,2.38,0,18157,28.48,1.4387924589476384,0,Consider
E08000014,Sefton,282745.0,23.63,121.0,4.279474438097933,2.48,78.51,19.01,0.0,0,20208,2.98,-0.2683788342853113,0,Avoid
E08000015,Wirral,324852.0,22.42,120.0,3.693989878467733,0.0,62.5,31.67,5.83,0,20043,9.19,10.797048481770158,0,Good
E08000016,Barnsley,248449.0,19.96,86.0,3.461474990843191,3.49,73.26,18.6,4.65,0,18427,16.76,4.413271248626478,0,Consider
E08000017,Doncaster,314176.0,19.62,93.0,2.9601242615603995,2.17,76.09,18.48,3.26,0,18280,11.84,2.161018639234058,0,Consider
E08000018,Rotherham,271195.0,19.75,102.0,3.7611312892936817,6.93,73.27,19.8,0.0,0,17739,20.7,2.959519693394053,0,Consider
E08000019,Sheffield,573252.0,16.85,133.0,2.320096571839261,0.75,83.46,13.53,2.26,0,17955,31.42,3.2007644857758883,0,Consider
E08000021,Newcastle upon Tyne,311976.0,14.93,79.0,2.532246070210529,7.69,73.08,19.23,0.0,0,18136,-13.86,-7.324263089468421,0,Avoid
E08000022,North Tyneside,211769.0,21.09,45.0,2.12495691059598,2.22,77.78,15.56,4.44,0,19171,2.74,-0.4921064634106038,0,Avoid
E08000023,South Tyneside,149270.0,21.33,37.0,2.478729818449789,2.7,86.49,10.81,0.0,0,17654,-41.63,-16.757090527232535,0,Avoid
E08000024,Sunderland,281058.0,20.85,92.0,3.2733457151193,6.52,90.22,1.09,2.17,0,17458,-31.94,-18.076798142732105,0,Avoid
E08000025,Birmingham,1166049.0,13.1,267.0,2.289783705487505,0.75,71.16,27.34,0.75,0,16950,-0.45,0.1384675558231256,0,Consider
E08000026,Coventry,360702.0,14.11,81.0,2.245621038974001,1.25,56.25,42.5,0.0,0,17772,-13.72,4.300143155846099,0,Consider
E08000027,Dudley,326680.0,20.45,85.0,2.6019346149136773,0.0,64.71,35.29,0.0,0,17644,18.23,10.352890192237052,0,Good
E08000028,Sandwell,347551.0,14.65,88.0,2.5320024974751907,0.0,71.59,28.41,0.0,0,15305,17.45,4.904550374621279,0,Consider
E08000029,Solihull,218793.0,21.27,62.0,2.833728684190079,1.61,88.71,9.68,0.0,0,24228,3.72,-4.917240697371492,0,Avoid
E08000030,Walsall,288736.0,17.45,64.0,2.216557685913776,3.12,71.88,25.0,0.0,0,16853,5.68,1.0189336528870667,0,Consider
E08000031,Wolverhampton,272425.0,16.41,73.0,2.679636597228595,1.37,63.01,35.62,0.0,0,16987,26.82,11.51349548958429,1,Good
E08000032,Bradford,560194.0,15.42,120.0,2.1421150529994963,3.33,66.67,25.83,4.17,0,16274,10.7,4.576417257949923,0,Consider
E08000033,Calderdale,208735.0,19.5,49.0,2.3474740699930536,2.08,83.33,14.58,0.0,0,19489,9.94,-2.156528889501044,0,Avoid
E08000034,Kirklees,442033.0,18.05,128.0,2.8957114061619835,2.34,74.22,20.31,3.12,0,18272,-3.22,-1.181343289075702,0,Avoid
E07000081,Gloucester,134991.0,17.02,50.0,3.703950633745953,12.0,76.0,12.0,0.0,0,18485,19.82,-1.941657404938109,0,Avoid
E07000082,Stroud,124540.0,23.64,43.0,3.4527059579251644,0.0,81.4,18.6,0.0,0,25260,13.62,2.9219058936887734,0,Consider
E07000083,Tewkesbury,98896.0,22.39,18.0,1.820093835948876,5.56,77.78,16.67,0.0,0,22620,6.66,-0.9614859246076684,0,Avoid
E07000084,Basingstoke and Deane,190198.0,17.72,54.0,2.8391465735707,7.41,83.33,9.26,0.0,0,25531,16.19,-2.932978013964398,0,Avoid
E07000085,East Hampshire,128440.0,24.14,57.0,4.437869822485207,5.36,78.57,16.07,0.0,0,28944,5.02,0.1172804733727801,0,Avoid
E07000086,Eastleigh,140950.0,19.91,50.0,3.54735721887194,2.0,76.0,22.0,0.0,0,22117,6.16,1.2871535828307916,0,Consider
E07000087,Fareham,114155.0,25.56,63.0,5.518812141386712,3.17,74.6,22.22,0.0,0,24075,16.35,5.902571821208005,0,Consider
E07000088,Gosport,82385.0,22.26,29.0,3.52005826303332,0.0,82.76,17.24,0.0,0,20007,5.9,-0.8109412605450022,0,Avoid
E07000089,Hart,101542.0,20.48,16.0,1.575702664907132,12.5,68.75,18.75,0.0,0,30226,4.49,-0.111244600263932,0,Avoid
E07000090,Havant,125682.0,24.86,58.0,4.614821533712068,0.0,68.97,31.03,0.0,0,22106,10.3,8.314123230056808,0,Good
E07000091,New Forest,175398.0,30.3,98.0,5.587292899576962,6.12,79.59,13.27,1.02,0,26570,7.92,1.3805939349365453,0,Consider
E07000092,Rushmoor,102908.0,15.25,19.0,1.846309324833832,10.53,78.95,10.53,0.0,0,20955,10.38,-5.330303601274926,0,Avoid
E07000093,Test Valley,134461.0,21.71,30.0,2.231130216196518,6.67,73.33,20.0,0.0,0,26074,17.38,3.7522695324294784,0,Consider
E07000094,Winchester,132440.0,21.11,33.0,2.491694352159468,12.12,66.67,21.21,0.0,0,29584,4.91,1.4363541528239183,0,Consider
E07000095,Broxbourne,100042.0,17.52,15.0,1.4993702644889146,13.33,66.67,20.0,0.0,0,24071,0.48,-2.198444460326664,0,Avoid
E07000096,Dacorum,157827.0,17.82,26.0,1.6473733898509129,3.85,69.23,26.92,0.0,0,27834,2.63,2.8407060084776363,0,Consider
E07000098,Hertsmere,108993.0,18.33,26.0,2.385474296514455,7.69,73.08,19.23,0.0,0,33768,-2.42,-1.2914788555228327,0,Avoid
E07000099,North Hertfordshire,135596.0,19.76,35.0,2.581197085459748,0.0,74.29,22.86,2.86,0,26787,4.43,3.596729562818962,0,Consider
E07000102,Three Rivers,94693.0,18.37,21.0,2.2176929656891216,4.76,71.43,19.05,4.76,0,32449,15.44,5.842503944853369,0,Consider
E07000103,Watford,104195.0,12.84,22.0,2.1114256922117183,4.55,50.0,45.45,0.0,0,23518,20.07,14.615913853831756,1,Good
E07000105,Ashford,138283.0,19.62,46.0,3.326511574090813,2.17,91.3,6.52,0.0,0,23708,-14.33,-11.44632326388638,0,Avoid
E07000106,Canterbury,159939.0,22.17,73.0,4.564240116544433,1.37,72.6,20.55,5.48,0,21999,2.57,3.677486017481664,0,Consider
E07000107,Dartford,120699.0,13.56,26.0,2.154118923934747,0.0,46.15,46.15,7.69,0,22763,-29.11,7.540067838590213,0,Consider
E07000108,Dover,118591.0,24.53,61.0,5.143729288057273,6.56,72.13,21.31,0.0,0,21980,11.58,3.488059393208591,0,Consider
E07000109,Gravesham,107737.0,17.21,17.0,1.5779165931852568,0.0,47.06,41.18,11.76,0,22535,37.46,24.930437488977788,1,Good
E07000110,Maidstone,184187.0,18.94,56.0,3.040388301020159,1.79,78.57,5.36,14.29,0,23766,-22.93,-5.796541754846976,0,Avoid
E07000111,Sevenoaks,121262.0,22.15,31.0,2.5564480216390955,12.9,70.97,16.13,0.0,0,33984,2.97,-0.6909327967541365,0,Avoid
E07000112,Folkestone and Hythe,110995.0,25.53,84.0,7.567908464345241,0.0,84.34,15.66,0.0,0,22951,-14.74,-4.894663730348215,0,Avoid
E07000113,Swale,155893.0,19.15,48.0,3.0790349791202942,6.25,83.33,10.42,0.0,0,21612,-10.39,-9.146344753131958,0,Avoid
E07000114,Thanet,140439.0,23.99,60.0,4.272317518637985,5.0,78.33,16.67,0.0,0,21235,7.78,-0.0954023722043029,0,Avoid
E07000115,Tonbridge and Malling,135206.0,19.31,17.0,1.2573406505628448,5.88,82.35,11.76,0.0,0,26584,0.23,-5.292798902415573,0,Avoid
E07000116,Tunbridge Wells,117020.0,20.03,32.0,2.73457528627585,0.0,83.87,16.13,0.0,0,30906,-27.47,-8.749913707058623,0,Avoid
E07000117,Burnley,96435.0,18.09,36.0,3.7330844610359306,0.0,75.0,19.44,5.56,0,15732,-25.36,-5.8417373308446106,0,Avoid
E07000118,Chorley,119352.0,21.01,34.0,2.848716401903613,2.94,73.53,20.59,2.94,0,21244,16.61,4.960907460285544,0,Consider
E07000119,Fylde,83846.0,28.79,41.0,4.889917229205926,2.44,75.61,21.95,0.0,0,24259,3.69,3.370337584380888,0,Consider
E07000120,Hyndburn,84261.0,18.26,41.0,4.865833541021351,4.88,65.85,24.39,4.88,0,15780,12.46,5.704875031153203,0,Consider
E07000121,Lancaster,145559.0,20.52,50.0,3.4350332167712065,4.0,76.0,18.0,2.0,0,18434,15.6,2.350354982515679,0,Consider
E07000122,Pendle,97039.0,18.5,23.0,2.370181061222808,0.0,78.26,21.74,0.0,0,16896,22.8,4.084927159183419,0,Consider
E07000123,Preston,156411.0,14.58,43.0,2.749167258057298,2.33,76.74,20.93,0.0,0,17243,4.32,-1.904174911291406,0,Avoid
E07000124,Ribble Valley,64469.0,24.98,14.0,2.1715863438241634,0.0,85.71,14.29,0.0,0,27425,17.21,2.132987951573625,0,Consider
E07000125,Rossendale,71541.0,19.49,31.0,4.333179575348401,3.23,74.19,22.58,0.0,0,19396,39.51,9.46937693630226,0,Good
E07000126,South Ribble,113552.0,22.04,39.0,3.43454980977878,2.56,89.74,7.69,0.0,0,20187,4.32,-6.122767528533183,0,Avoid
E07000127,West Lancashire,120703.0,22.42,31.0,2.568287449359171,6.45,61.29,22.58,9.68,0,21486,29.02,13.308143117403876,1,Good
E07000128,Wyre,116994.0,28.24,43.0,3.675402157375592,4.65,79.07,11.63,4.65,0,20813,10.9,1.878260323606339,0,Consider
E07000129,Blaby,105278.0,20.66,21.0,1.994718744657004,4.76,85.71,9.52,0.0,0,19762,-2.54,-7.634492188301451,0,Avoid
E07000130,Charnwood,188010.0,19.11,58.0,3.084942290303707,0.0,75.86,20.69,3.45,0,20143,28.73,7.860191343545556,0,Consider
