District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
EAST LINDSEY,0.42,Low ROI,271224.03,259150.85,318910.84,273417.29,272358.27
EAST NORTHAMPTONSHIRE,25.12,Top ROI,319062.82,399203.29,,,
EAST RIDING OF YORKSHIRE,10.56,Mid ROI,261909.23,286174.4,311639.46,294265.3,289577.04
EAST STAFFORDSHIRE,-7.43,Low ROI,345744.45,313454.88,348481.28,352183.52,320040.62
EAST SUFFOLK,9.19,Mid ROI,359315.93,393854.85,416993.61,419172.48,392337.6
EASTBOURNE,45.62,Top ROI,413820.33,412998.64,469419.73,536766.2,602595.0
EASTLEIGH,6.14,Mid ROI,417879.98,437666.92,594242.91,512609.68,443553.93
EDEN,4.56,Mid ROI,321323.43,369173.89,373714.91,335965.86,
ELMBRIDGE,10.41,Mid ROI,1213160.75,1307265.92,1616312.91,1567453.21,1339417.25
ENFIELD,-3.84,Low ROI,976122.76,928730.01,949009.11,1178977.35,938663.64
EPPING FOREST,19.52,Mid ROI,720134.0,787218.45,812430.03,768431.5,860708.21
EPSOM AND EWELL,4.02,Low ROI,719437.38,729812.31,838994.07,728659.08,748332.56
EREWASH,14.89,Mid ROI,235811.41,242607.39,269851.46,285000.41,270934.8
EXETER,-2.18,Low ROI,496440.55,506408.8,701359.84,609445.82,485642.89
FAREHAM,16.35,Mid ROI,429664.38,439992.99,501013.37,520141.04,499916.17
FENLAND,3.35,Low ROI,261586.09,282695.33,313052.44,296243.6,270359.32
FLINTSHIRE,8.31,Mid ROI,234625.37,251757.3,290583.54,268961.25,254117.09
FOLKESTONE AND HYTHE,-14.67,Low ROI,524613.99,465451.19,568980.89,502899.12,447674.65
FOREST OF DEAN,26.83,Top ROI,317439.15,351359.96,369812.11,398744.91,402597.68
FYLDE,3.6,Low ROI,313433.05,292444.49,329402.31,339521.27,324707.14
GATESHEAD,-9.94,Low ROI,254947.0,238970.62,227965.2,238680.58,229593.73
GEDLING,20.02,Mid ROI,256796.92,306659.09,303320.47,313861.55,308202.26
GLOUCESTER,19.82,Mid ROI,296714.65,371094.66,336795.13,389070.38,355533.9
GOSPORT,5.9,Mid ROI,336392.71,351017.95,403810.5,416624.75,356249.23
GRAVESHAM,36.94,Top ROI,449890.2,522023.3,535442.74,532117.89,616087.46
GREAT YARMOUTH,25.23,Top ROI,212249.8,249622.41,312367.98,293157.58,265794.1
GREENWICH,-34.02,Low ROI,1492638.64,879496.09,1078540.52,899264.28,984812.05
GUILDFORD,-1.39,Low ROI,788163.86,770157.58,858349.13,835327.77,777194.78
GWYNEDD,21.94,Mid ROI,245137.89,285768.2,360689.84,334300.36,298909.26
HACKNEY,-28.99,Low ROI,2410081.66,2064185.56,2701404.78,1232204.15,1711356.66
HALTON,48.37,Top ROI,220898.16,284015.27,403048.13,346170.79,327741.35
HAMBLETON,32.08,Top ROI,326830.69,384615.03,413842.81,431690.96,
HAMMERSMITH AND FULHAM,-13.63,Low ROI,2067638.31,2086869.0,2507177.65,1815843.34,1785799.46
HARBOROUGH,-28.77,Low ROI,589319.0,557917.47,480640.34,458126.33,419758.16
HARINGEY,-14.13,Low ROI,1486099.31,1415591.34,1580781.58,1825851.33,1276180.95
HARLOW,4.69,Mid ROI,520273.63,509531.79,665302.7,534261.12,544674.29
